Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,,,,,,,,,,ADJUSTED,NUMBER OF,NUMBER OF,WATER TEMP AT
YEAR,SPECIES,"METRIC
TONS",POUNDS*,POUNDS(millions)*,VALUE,VALUE(millions),PRICE/LB,"ADJUSTED
PRICE/LB","ADJUSTED
VALUE","VALUE
(millions)","LICENSE
HOLDERS�",TRAPS -MILLIONS,"BOOTHBAY HARBOR
STATION (C)"
1937,"LOBSTER, AMERICAN","3,333","7,347,932",7.3479,"$1,400,000",1.4,$0.19,,,,,0.186,9.0
1938,"LOBSTER, AMERICAN","3,474","7,658,780",7.6588,,,$0.00,,,,"3,592",0.258,7.3
1939,"LOBSTER, AMERICAN","3,005","6,624,823",6.6248,"$1,000,000",1.0,$0.15,,,,"3,722",0.26,6.4
1940,"LOBSTER, AMERICAN","3,468","7,644,735",7.6447,"$1,300,000",1.3,$0.17,,,,"3,717",0.222,7.0
1941,"LOBSTER, AMERICAN","4,055","8,939,070",8.9391,"$1,600,000",1.6,$0.18,,,,"3,648",0.194,7.9
1942,"LOBSTER, AMERICAN","3,813","8,405,460",8.4055,"$1,800,000",1.8,$0.21,,,,"3,511",0.187,8.1
1943,"LOBSTER, AMERICAN","5,203","11,470,410",11.4704,"$2,900,000",2.9,$0.25,,,,"4,239",0.209,7.4
1944,"LOBSTER, AMERICAN","6,377","14,059,080",14.0591,"$4,000,000",4.0,$0.28,,,,"4,926",0.252,8.0
1945,"LOBSTER, AMERICAN","8,678","19,132,785",19.1328,"$7,700,000",7.7,$0.40,,,,"6,241",0.378,8.4
1946,"LOBSTER, AMERICAN","8,518","18,779,985",18.7800,"$7,200,000",7.2,$0.38,,,,"6,574",0.473,8.5
1947,"LOBSTER, AMERICAN","8,291","18,279,450",18.2795,"$6,800,000",6.8,$0.37,,,,"5,338",0.516,9.2
1948,"LOBSTER, AMERICAN","7,224","15,926,715",15.9267,"$6,400,000",6.4,$0.40,,,,"5,345",0.439,8.2
1949,"LOBSTER, AMERICAN","8,744","19,276,110",19.2761,"$6,700,000",6.7,$0.35,,,,"5,424",0.462,6.7
1950,"LOBSTER, AMERICAN","8,325","18,352,600",18.3526,"$6,412,311",6.4123,$0.35,$10.42,"$191,189,062.48",191.1891,"5,152",0.43,9.9
1951,"LOBSTER, AMERICAN","9,416","20,759,500",20.7595,"$7,214,107",7.2141,$0.35,$9.74,"$202,235,778.16",202.2358,"4,653",0.383,10.8
1952,"LOBSTER, AMERICAN","9,088","20,036,300",20.0363,"$8,511,821",8.5118,$0.42,$11.78,"$236,036,822.65",236.0368,"5,032",0.417,10.1
1953,"LOBSTER, AMERICAN","10,115","22,300,300",22.3003,"$8,411,229",8.4112,$0.38,$10.72,"$239,165,081.79",239.1651,"5,497",0.49,11.1
1954,"LOBSTER, AMERICAN","9,828","21,667,700",21.6677,"$8,087,156",8.0872,$0.37,$10.44,"$226,148,212.98",226.1482,"5,794",0.488,10.2
1955,"LOBSTER, AMERICAN","10,305","22,718,100",22.7181,"$8,716,012",8.7160,$0.38,$10.76,"$244,532,326.72",244.5323,"6,051",0.532,10.0
1956,"LOBSTER, AMERICAN","9,331","20,572,300",20.5723,"$9,119,807",9.1198,$0.44,$11.51,"$236,827,428.73",236.8274,"5,892",0.533,9.2
1957,"LOBSTER, AMERICAN","11,069","24,402,800",24.4028,"$8,954,234",8.9542,$0.37,$9.25,"$225,616,814.67",225.6168,"6,068",0.565,9.2
1958,"LOBSTER, AMERICAN","9,667","21,312,000",21.3120,"$10,445,004",10.4450,$0.49,$11.38,"$242,489,502.39",242.4895,"6,236",0.609,8.5
1959,"LOBSTER, AMERICAN","10,128","22,328,800",22.3288,"$11,252,686",11.2527,$0.50,$11.98,"$267,565,843.47",267.5658,"6,488",0.717,8.3
1960,"LOBSTER, AMERICAN","10,893","24,014,200",24.0142,"$10,967,018",10.9670,$0.46,$10.84,"$260,277,164.37",260.2772,"6,636",0.745,8.8
1961,"LOBSTER, AMERICAN","9,488","20,917,900",20.9179,"$11,119,803",11.1198,$0.53,$11.81,"$247,014,952.88",247.0150,"6,472",0.752,8.5
1962,"LOBSTER, AMERICAN","10,013","22,075,300",22.0753,"$11,195,609",11.1956,$0.51,$10.29,"$227,079,113.49",227.0791,"5,658",0.767,8.1
1963,"LOBSTER, AMERICAN","10,344","22,804,300",22.8043,"$12,635,826",12.6358,$0.55,$11.80,"$269,005,100.48",269.0051,"5,695",0.731,8.8
1964,"LOBSTER, AMERICAN","9,489","20,920,697",20.9207,"$13,878,286",13.8783,$0.66,$14.77,"$309,034,427.41",309.0344,"5,803",0.754,8.3
1965,"LOBSTER, AMERICAN","8,556","18,861,785",18.8618,"$14,177,204",14.1772,$0.75,$15.99,"$301,508,159.69",301.5082,"5,802",0.789,7.7
1966,"LOBSTER, AMERICAN","9,034","19,915,816",19.9158,"$14,904,498",14.9045,$0.75,$14.17,"$282,260,337.81",282.2603,"5,613",0.776,7.6
1967,"LOBSTER, AMERICAN","7,479","16,489,196",16.4892,"$13,597,869",13.5979,$0.82,$15.73,"$259,374,838.33",259.3748,"5,425",0.715,7.3
1968,"LOBSTER, AMERICAN","9,299","20,501,732",20.5017,"$14,931,671",14.9317,$0.73,$12.96,"$265,681,173.67",265.6812,"5,489",0.747,8.1
1969,"LOBSTER, AMERICAN","8,997","19,834,780",19.8348,"$16,046,829",16.0468,$0.81,$13.10,"$259,740,336.33",259.7403,"5,750",0.805,8.9
1970,"LOBSTER, AMERICAN","8,243","18,172,269",18.1723,"$17,201,501",17.2015,$0.95,$14.54,"$264,282,562.23",264.2826,"6,316",1.18,8.9
1971,"LOBSTER, AMERICAN","7,964","17,558,351",17.5584,"$17,481,291",17.4813,$1.00,$13.98,"$245,549,506.22",245.5495,"6,702",1.278,8.7
1972,"LOBSTER, AMERICAN","7,374","16,256,467",16.2565,"$18,587,455",18.5875,$1.14,$13.71,"$222,857,298.32",222.8573,"7,045",1.448,8.4
1973,"LOBSTER, AMERICAN","7,731","17,044,194",17.0442,"$23,269,859",23.2699,$1.37,$13.78,"$234,792,107.34",234.7921,"7,894",1.172,8.8
1974,"LOBSTER, AMERICAN","7,465","16,457,666",16.4577,"$23,212,808",23.2128,$1.41,$13.22,"$217,631,735.78",217.6317,"10,523",1.79,9.2
1975,"LOBSTER, AMERICAN","7,491","16,515,588",16.5156,"$26,520,134",26.5201,$1.61,$14.12,"$233,240,684.44",233.2407,"10,455",1.771,9.4
1976,"LOBSTER, AMERICAN","8,619","19,001,053",19.0011,"$29,238,371",29.2384,$1.54,$10.85,"$206,115,920.27",206.1159,"9,041",1.754,9.3
1977,"LOBSTER, AMERICAN","8,386","18,487,138",18.4871,"$32,101,423",32.1014,$1.74,$11.34,"$209,725,071.21",209.7251,"8,827",1.739,8.7
1978,"LOBSTER, AMERICAN","8,677","19,130,459",19.1305,"$33,878,376",33.8784,$1.77,$10.85,"$207,531,940.53",207.5319,"8,712",1.723,8.0
1979,"LOBSTER, AMERICAN","10,039","22,133,235",22.1332,"$39,900,632",39.9006,$1.80,$9.00,"$199,102,849.13",199.1028,"8,600",1.81,8.9
1980,"LOBSTER, AMERICAN","9,973","21,986,894",21.9869,"$41,729,114",41.7291,$1.90,$9.83,"$216,086,415.84",216.0864,"9,200",1.846,8.0
1981,"LOBSTER, AMERICAN","10,266","22,631,614",22.6316,"$47,236,923",47.2369,$2.09,$10.62,"$240,241,392.13",240.2414,"8,548",1.825,8.4
1982,"LOBSTER, AMERICAN","10,310","22,730,253",22.7303,"$50,343,596",50.3436,$2.21,$10.04,"$228,139,792.24",228.1398,"8,891",2.143,9.0
1983,"LOBSTER, AMERICAN","9,968","21,976,555",21.9766,"$51,234,291",51.2343,$2.33,$10.04,"$220,654,994.02",220.6550,"8,895",2.34,8.8
1984,"LOBSTER, AMERICAN","8,866","19,545,682",19.5457,"$49,298,135",49.2981,$2.52,$10.16,"$198,530,986.72",198.5310,"8,730",2.175,8.7
1985,"LOBSTER, AMERICAN","9,129","20,125,177",20.1252,"$45,035,558",45.0356,$2.24,$8.88,"$178,625,908.80",178.6259,"4,789",1.766,9.0
1986,"LOBSTER, AMERICAN","8,938","19,704,317",19.7043,"$46,171,224",46.1712,$2.34,$8.51,"$167,633,709.21",167.6337,"4,840",1.595,8.5
1987,"LOBSTER, AMERICAN","8,957","19,747,766",19.7478,"$54,548,137",54.5481,$2.76,$8.95,"$176,756,047.70",176.7560,"5,285",1.909,8.2
1988,"LOBSTER, AMERICAN","9,861","21,739,067",21.7391,"$60,742,438",60.7424,$2.79,$8.52,"$185,231,266.60",185.2313,"5,627",2.053,8.5
1989,"LOBSTER, AMERICAN","10,600","23,368,719",23.3687,"$59,552,211",59.5522,$2.55,$8.11,"$189,441,012.44",189.4410,"6,172",2.001,8.2
1990,"LOBSTER, AMERICAN","12,732","28,068,238",28.0682,"$61,627,973",61.6280,$2.20,$6.79,"$190,474,211.77",190.4742,"6,617",2.13,9.2
1991,"LOBSTER, AMERICAN","13,966","30,788,646",30.7886,"$72,265,347",72.2653,$2.35,$7.14,"$219,858,274.85",219.8583,"6,839",2.015,9.2
1992,"LOBSTER, AMERICAN","12,170","26,830,448",26.8304,"$71,822,699",71.8227,$2.68,$7.80,"$209,201,268.54",209.2013,"6,063",2.012,8.9
1993,"LOBSTER, AMERICAN","13,574","29,926,464",29.9265,"$73,863,438",73.8634,$2.47,$7.16,"$214,416,178.50",214.4162,"5,836",1.806,8.5
1994,"LOBSTER, AMERICAN","17,667","38,948,867",38.9489,"$100,936,678",100.9367,$2.59,$7.29,"$283,751,800.60",283.7518,"6,247",2.785,9.3
1995,"LOBSTER, AMERICAN","16,877","37,208,324",37.2083,"$101,893,173",101.8932,$2.74,$7.28,"$271,059,683.35",271.0597,"7,469",2.408,9.8
1996,"LOBSTER, AMERICAN","16,367","36,083,443",36.0834,"$106,980,557",106.9806,$2.96,$8.10,"$292,372,134.98",292.3721,"6,992",2.451,9.2
